symbol,company,industry,market_cap
AMBC,"Ambac Financial Group, Inc.",Insurance - Specialty,351.26M
AMBI,Ambipar Emergency Response,Waste Management,255.53M
AMBO,Ambow Education Holding Ltd.,Education & Training Services,8.20M
AMBP,Ardagh Metal Packaging S.A.,Packaging & Containers,2.31B
AMBQ,"Ambiq Micro, Inc.",Semiconductors,641.78M
AMBR,Amber International Holding Limited,Software - Infrastructure,621.12M
AMC,"AMC Entertainment Holdings, Inc.",Entertainment,1.31B
AMCR,Amcor plc,Packaging & Containers,22.21B
AMCX,AMC Networks Inc.,Entertainment,293.27M
AMD,"Advanced Micro Devices, Inc.",Semiconductors,279.58B
AME,"AMETEK, Inc.",Specialty Industrial Machinery,42.15B
AMED,"Amedisys, Inc.",Medical Care Facilities,3.32B
AMG,"Affiliated Managers Group, Inc.",Asset Management,6.08B
AMGN,Amgen Inc.,Drug Manufacturers - General,153.48B
AMH,American Homes 4 Rent,REIT - Residential,14.43B
AMIX,"Autonomix Medical, Inc.",Medical Devices,3.10M
AMKR,"Amkor Technology, Inc.",Semiconductor Equipment & Materials,5.72B
AMLX,"Amylyx Pharmaceuticals, Inc.",Biotechnology,697.29M
AMN,"AMN Healthcare Services, Inc.",Medical Care Facilities,631.97M
AMOD,"Alpha Modus Holdings, Inc.",Software - Application,43.64M
AMP,"Ameriprise Financial, Inc.",Asset Management,47.76B
AMPG,"AmpliTech Group, Inc.",Communication Equipment,71.53M
AMPH,"Amphastar Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,1.27B
AMPL,"Amplitude, Inc.",Software - Application,1.48B
AMPX,"Amprius Technologies, Inc.",Electrical Equipment & Parts,961.83M
AMPY,Amplify Energy Corp.,Oil & Gas Exploration & Production,142.44M
AMR,"Alpha Metallurgical Resources, Inc.",Coking Coal,2.04B
AMRC,"Ameresco, Inc.",Engineering & Construction,1.03B
AMRK,"A-Mark Precious Metals, Inc.",Capital Markets,539.53M
AMRN,Amarin Corporation plc,Drug Manufacturers - General,309.00M
AMRX,"Amneal Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,2.78B
AMS,American Shared Hospital Services,Medical Care Facilities,16.00M
AMSC,American Superconductor Corporation,Specialty Industrial Machinery,2.36B
AMSF,"AMERISAFE, Inc.",Insurance - Specialty,852.33M
AMST,Amesite Inc.,Software - Application,12.95M
AMT,American Tower Corporation,REIT - Specialty,96.50B
AMTB,Amerant Bancorp Inc.,Banks - Regional,795.47M
AMTD,AMTD IDEA Group,Asset Management,65.35M
AMTM,"Amentum Holdings, Inc.",Specialty Business Services,6.17B
AMTX,"Aemetis, Inc.",Specialty Chemicals,166.96M
AMWD,American Woodmark Corporation,"Furnishings, Fixtures & Appliances",863.53M
AMWL,American Well Corporation,Health Information Services,113.35M
AMX,"América Móvil, S.A.B. de C.V.",Telecom Services,57.45B
AMZE,"Amaze Holdings, Inc.",Beverages - Wineries & Distilleries,18.30M
AMZN,"Amazon.com, Inc.",Internet Retail,"2,360.15B"
AN,"AutoNation, Inc.",Auto & Truck Dealerships,7.49B
ANAB,"AnaptysBio, Inc.",Biotechnology,559.94M
ANDE,"The Andersons, Inc.",Food Distribution,1.30B
ANEB,"Anebulo Pharmaceuticals, Inc.",Biotechnology,97.37M
ANET,Arista Networks Inc,Computer Hardware,173.01B
ANF,Abercrombie & Fitch Co.,Apparel Retail,4.77B
ANGH,Anghami Inc.,Entertainment,21.55M
ANGI,Angi Inc.,Internet Content & Information,800.82M
ANGO,"AngioDynamics, Inc.",Medical Instruments & Supplies,343.36M
ANIK,"Anika Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,118.59M
ANIP,"ANI Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,1.71B
ANIX,"Anixa Biosciences, Inc.",Biotechnology,94.70M
ANL,Adlai Nortye Ltd.,Biotechnology,61.62M
ANNA,"AleAnna, Inc.",Oil & Gas Exploration & Production,313.28M
ANNX,"Annexon, Inc.",Biotechnology,257.83M
ANPA,Rich Sparkle Holdings Limited,Specialty Business Services,441.75M
ANRO,"Alto Neuroscience, Inc.",Biotechnology,82.84M
ANSC,Agriculture & Natural Solutions Acquisition Corporation,Shell Companies,469.20M
ANTA,Antalpha Platform Holding Company,Credit Services,300.70M
ANTE,AirNet Technology Inc.,Advertising Agencies,48.80M
ANTX,"AN2 Therapeutics, Inc.",Biotechnology,31.68M
ANVS,"Annovis Bio, Inc.",Biotechnology,54.95M
ANY,Sphere 3D Corp.,Capital Markets,14.30M
AOMR,"Angel Oak Mortgage REIT, Inc.",REIT - Mortgage,216.03M
AON,Aon plc,Insurance Brokers,79.37B
AORT,"Artivion, Inc.",Medical Devices,2.03B
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,9.88B
AOSL,Alpha and Omega Semiconductor Limited,Semiconductors,754.12M
AOUT,"American Outdoor Brands, Inc.",Leisure,116.54M
AP,Ampco-Pittsburgh Corporation,Metal Fabrication,68.52M
APA,APA Corporation,Oil & Gas Exploration & Production,7.13B
APAD,A Paradise Acquisition Corp.,Shell Companies,268.53M
APAM,Artisan Partners Asset Management Inc.,Asset Management,3.77B
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,63.19B
APDN,"Applied DNA Sciences, Inc.",Diagnostics & Research,2.21M
APEI,"American Public Education, Inc.",Education & Training Services,506.42M
APG,APi Group Corporation,Engineering & Construction,14.54B
APGE,"Apogee Therapeutics, Inc.",Biotechnology,2.02B
APH,Amphenol Corporation,Electronic Components,134.07B
