symbol,company,industry,market_cap
LMFA,"LM Funding America, Inc.",Credit Services,11.81M
LMND,"Lemonade, Inc.",Insurance - Property & Casualty,3.87B
LMNR,Limoneira Company,Farm Products,283.50M
LMT,Lockheed Martin Corporation,Aerospace & Defense,99.52B
LNC,Lincoln National Corporation,Insurance - Life,7.25B
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Farm Products,369.13M
LNG,"Cheniere Energy, Inc.",Oil & Gas Midstream,50.56B
LNKB,"LINKBANCORP, Inc.",Banks - Regional,255.59M
LNKS,Linkers Industries Limited,Electrical Equipment & Parts,6.99M
LNN,Lindsay Corporation,Farm & Heavy Construction Machinery,1.49B
LNSR,"LENSAR, Inc.",Medical Devices,155.27M
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,16.79B
LNTH,"Lantheus Holdings, Inc.",Drug Manufacturers - Specialty & Generic,3.81B
LNW,"Light & Wonder, Inc.",Gambling,7.05B
LNZA,"LanzaTech Global, Inc.",Waste Management,79.68M
LOAN,"Manhattan Bridge Capital, Inc.",REIT - Mortgage,61.59M
LOAR,Loar Holdings Inc.,Aerospace & Defense,6.37B
LOB,"Live Oak Bancshares, Inc.",Banks - Regional,1.46B
LOBO,Lobo EV Technologies Ltd.,Auto Manufacturers,8.21M
LOCL,Local Bounti Corporation,Farm Products,55.14M
LOCO,"El Pollo Loco Holdings, Inc.",Restaurants,304.15M
LODE,Comstock Inc.,Other Precious Metals & Mining,98.87M
LOGI,Logitech International S.A.,Computer Hardware,14.28B
LOKV,Live Oak Acquisition Corp. V,Shell Companies,293.25M
LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,Building Materials,1.32B
LOOP,"Loop Industries, Inc.",Specialty Chemicals,75.39M
LOPE,"Grand Canyon Education, Inc.",Education & Training Services,5.43B
LOT,Lotus Technology Inc.,Auto Manufacturers,1.33B
LOVE,The Lovesac Company,"Furnishings, Fixtures & Appliances",258.25M
LOW,"Lowe's Companies, Inc.",Home Improvement Retail,134.42B
LPA,Logistic Properties of the Americas,Real Estate - Development,198.27M
LPAA,Launch One Acquisition Corp.,Shell Companies,299.00M
LPBB,Launch Two Acquisition Corp.,Shell Companies,298.43M
LPCN,Lipocine Inc.,Biotechnology,15.88M
LPG,Dorian LPG Ltd.,Oil & Gas Midstream,1.30B
LPL,"LG Display Co., Ltd.",Consumer Electronics,3.90B
LPLA,LPL Financial Holdings Inc.,Capital Markets,29.65B
LPRO,Open Lending Corporation,Credit Services,252.89M
LPSN,"LivePerson, Inc.",Software - Application,111.68M
LPTH,"LightPath Technologies, Inc.",Electronic Components,157.22M
LPTX,"Leap Therapeutics, Inc.",Biotechnology,12.93M
LPX,Louisiana-Pacific Corporation,Building Products & Equipment,6.27B
LQDA,Liquidia Corporation,Biotechnology,1.81B
LQDT,"Liquidity Services, Inc.",Internet Retail,767.18M
LRCX,Lam Research Corporation,Semiconductor Equipment & Materials,129.41B
LRE,"Lead Real Estate Co., Ltd",Real Estate - Development,20.05M
LRHC,La Rosa Holdings Corp.,Real Estate Services,5.48M
LRMR,"Larimar Therapeutics, Inc.",Biotechnology,323.53M
LRN,"Stride, Inc.",Education & Training Services,6.48B
LSAK,"Lesaka Technologies, Inc.",Software - Infrastructure,364.31M
LSB,"LakeShore Biopharma Co., Ltd",Biotechnology,33.07M
LSBK,"Lake Shore Bancorp, Inc.",Banks - Regional,70.79M
LSCC,Lattice Semiconductor Corporation,Semiconductors,8.29B
LSE,"Leishen Energy Holding Co., Ltd.",Oil & Gas Equipment & Services,90.06M
LSF,"Laird Superfood, Inc.",Packaged Foods,60.79M
LSH,Lakeside Holding Limited,Integrated Freight & Logistics,10.12M
LSPD,Lightspeed Commerce Inc.,Software - Application,1.62B
LSTA,"Lisata Therapeutics, Inc.",Biotechnology,23.82M
LSTR,"Landstar System, Inc.",Integrated Freight & Logistics,4.38B
LTBR,Lightbridge Corporation,Electrical Equipment & Parts,304.27M
LTC,"LTC Properties, Inc.",REIT - Healthcare Facilities,1.65B
LTH,"Life Time Group Holdings, Inc.",Leisure,6.12B
LTM,LATAM Airlines Group S.A.,Airlines,12.74B
LTRN,Lantern Pharma Inc.,Biotechnology,46.70M
LTRX,"Lantronix, Inc.",Communication Equipment,114.73M
LU,Lufax Holding Ltd,Credit Services,2.42B
LUCD,Lucid Diagnostics Inc.,Medical Devices,107.96M
LUCK,Lucky Strike Entertainment Corporation,Leisure,1.37B
LUCY,"Innovative Eyewear, Inc.",Medical Instruments & Supplies,9.19M
LUD,Luda Technology Group Limited,Steel,112.09M
LULU,lululemon athletica inc.,Apparel Retail,22.31B
LUMN,"Lumen Technologies, Inc.",Telecom Services,3.84B
LUNG,Pulmonx Corporation,Medical Devices,63.16M
LUNR,"Intuitive Machines, Inc.",Aerospace & Defense,1.81B
LUV,Southwest Airlines Co.,Airlines,15.26B
LUXE,LuxExperience B.V.,Luxury Goods,1.07B
LVLU,"Lulu's Fashion Lounge Holdings, Inc.",Apparel Retail,10.01M
LVO,"LiveOne, Inc.",Entertainment,68.11M
LVRO,Lavoro Limited,Agricultural Inputs,230.32M
LVS,Las Vegas Sands Corp.,Resorts & Casinos,36.39B
LVTX,LAVA Therapeutics N.V.,Biotechnology,39.98M
LVWR,"LiveWire Group, Inc.",Auto Manufacturers,672.33M
LW,"Lamb Weston Holdings, Inc.",Packaged Foods,7.20B
LWAC,LightWave Acquisition Corp.,Shell Companies,292.47M
LWAY,"Lifeway Foods, Inc.",Packaged Foods,418.70M
LWLG,"Lightwave Logic, Inc.",Specialty Chemicals,271.34M
LX,LexinFintech Holdings Ltd.,Credit Services,1.14B
LXEH,"Lixiang Education Holding Co., Ltd.",Education & Training Services,34.50M
LXEO,"Lexeo Therapeutics, Inc.",Biotechnology,238.13M
LXFR,Luxfer Holdings PLC,Specialty Industrial Machinery,320.66M
LXP,LXP Industrial Trust,REIT - Industrial,2.38B
LXRX,"Lexicon Pharmaceuticals, Inc.",Biotechnology,377.93M
LXU,"LSB Industries, Inc.",Chemicals,528.01M
LYB,LyondellBasell Industries N.V.,Specialty Chemicals,15.55B
LYEL,"Lyell Immunopharma, Inc.",Biotechnology,162.30M
LYFT,"Lyft, Inc.",Software - Application,5.47B
LYG,Lloyds Banking Group plc,Banks - Regional,65.46B
LYRA,"Lyra Therapeutics, Inc.",Biotechnology,10.66M
LYTS,LSI Industries Inc.,Electronic Components,532.42M
LYV,"Live Nation Entertainment, Inc.",Entertainment,35.83B
LZ,"LegalZoom.com, Inc.",Specialty Business Services,2.00B
LZB,La-Z-Boy Incorporated,"Furnishings, Fixtures & Appliances",1.51B
LZM,Lifezone Metals Limited,Other Industrial Metals & Mining,365.60M
LZMH,LZ Technology Holdings Limited,Information Technology Services,411.38M
M,"Macy's, Inc.",Department Stores,3.29B
MA,Mastercard Incorporated,Credit Services,518.53B
MAA,"Mid-America Apartment Communities, Inc.",REIT - Residential,16.62B
MAAS,Maase Inc.,Asset Management,88.12M
MAC,The Macerich Company,REIT - Retail,4.40B
MACI,Melar Acquisition Corp. I,Shell Companies,226.59M
MAG,MAG Silver Corp.,Silver,2.37B
MAGN,Magnera Corporation,Paper & Paper Products,457.46M
MAIA,"MAIA Biotechnology, Inc.",Biotechnology,45.16M
MAIN,Main Street Capital Corporation,Asset Management,5.90B
MAMA,"Mama's Creations, Inc.",Packaged Foods,300.89M
MAMK,MaxsMaking Inc.,Apparel Manufacturing,39.24M
MAMO,Massimo Group,Recreational Vehicles,128.38M
MAN,ManpowerGroup Inc.,Staffing & Employment Services,1.84B
MANH,"Manhattan Associates, Inc.",Software - Application,12.41B
MANU,Manchester United plc,Entertainment,3.02B
MAPS,"WM Technology, Inc.",Software - Application,204.42M
MAR,"Marriott International, Inc.",Lodging,70.03B
MARA,"MARA Holdings, Inc.",Capital Markets,5.80B
MARPS,Marine Petroleum Trust,Oil & Gas Midstream,8.78M
MAS,Masco Corporation,Building Products & Equipment,14.43B
MASI,Masimo Corporation,Medical Devices,8.01B
MASK,3 E Network Technology Group Limited,Software - Application,11.59M
MASS,908 Devices Inc.,Medical Devices,231.85M
MAT,"Mattel, Inc.",Leisure,5.58B
MATH,Metalpha Technology Holding Limited,Capital Markets,107.89M
MATV,"Mativ Holdings, Inc.",Specialty Chemicals,514.47M
MATW,Matthews International Corporation,Conglomerates,720.20M
MATX,"Matson, Inc.",Marine Shipping,3.29B
MAX,"MediaAlpha, Inc.",Internet Content & Information,649.55M
MAXN,"Maxeon Solar Technologies, Ltd.",Solar,61.25M
MAYA,Maywood Acquisition Corp.,Shell Companies,151.52M
MAYS,"J.W. Mays, Inc.",Real Estate Services,76.56M
MAZE,"Maze Therapeutics, Inc.",Biotechnology,589.95M
MB,MasterBeef Group,Restaurants,244.46M
MBAV,M3-Brigade Acquisition V Corp.,Shell Companies,379.32M
MBBC,"Marathon Bancorp, Inc.",Banks - Regional,29.48M
MBC,"MasterBrand, Inc.","Furnishings, Fixtures & Appliances",1.49B
MBCN,Middlefield Banc Corp.,Banks - Regional,222.07M
MBI,MBIA Inc.,Insurance - Specialty,304.45M
MBIN,Merchants Bancorp,Banks - Regional,1.42B
MBIO,"Mustang Bio, Inc.",Biotechnology,7.70M
MBLY,Mobileye Global Inc.,Auto Parts,10.92B
MBOT,Microbot Medical Inc.,Medical Instruments & Supplies,116.33M
MBRX,"Moleculin Biotech, Inc.",Biotechnology,18.79M
MBUU,"Malibu Boats, Inc.",Recreational Vehicles,631.22M
MBWM,Mercantile Bank Corporation,Banks - Regional,723.88M
MBX,"MBX Biosciences, Inc.",Biotechnology,378.27M
MC,Moelis & Company,Capital Markets,5.74B
MCB,Metropolitan Bank Holding Corp.,Banks - Regional,729.81M
MCBS,"MetroCity Bankshares, Inc.",Banks - Regional,699.61M
MCD,McDonald's Corporation,Restaurants,217.19B
MCFT,"MasterCraft Boat Holdings, Inc.",Recreational Vehicles,320.31M
MCHP,Microchip Technology Incorporated,Semiconductors,32.89B
MCHX,"Marchex, Inc.",Advertising Agencies,87.72M
MCK,McKesson Corporation,Medical Distribution,83.68B
MCO,Moody's Corporation,Financial Data & Stock Exchanges,91.79B
MCRB,"Seres Therapeutics, Inc.",Biotechnology,127.20M
MCRI,"Monarch Casino & Resort, Inc.",Resorts & Casinos,1.76B
MCRP,Micropolis Holding Company,Software - Infrastructure,63.69M
MCS,The Marcus Corporation,Entertainment,458.08M
MCTR,Ctrl Group Limited,Advertising Agencies,27.39M
MCVT,"Mill City Ventures III, Ltd.",Credit Services,466.26M
MCW,"Mister Car Wash, Inc.",Auto & Truck Dealerships,1.87B
MCY,Mercury General Corporation,Insurance - Property & Casualty,3.96B
MD,"Pediatrix Medical Group, Inc.",Medical Care Facilities,1.21B
MDAI,"Spectral AI, Inc.",Medical Devices,60.76M
MDB,"MongoDB, Inc.",Software - Infrastructure,16.42B
MDBH,"MDB Capital Holdings, LLC",Capital Markets,38.21M
MDCX,Medicus Pharma Ltd.,Drug Manufacturers - General,31.39M
MDGL,"Madrigal Pharmaceuticals, Inc.",Biotechnology,7.79B
MDIA,MediaCo Holding Inc.,Broadcasting,72.46M
MDLZ,"Mondelez International, Inc.",Confectioners,79.66B
MDRR,"Medalist Diversified REIT, Inc.",REIT - Diversified,22.55M
MDT,Medtronic plc,Medical Devices,118.82B
MDU,"MDU Resources Group, Inc.",Conglomerates,3.37B
MDV,"Modiv Industrial, Inc.",REIT - Industrial,176.63M
MDWD,MediWound Ltd.,Biotechnology,200.70M
MDXG,"MiMedx Group, Inc.",Biotechnology,1.04B
MDXH,MDxHealth SA,Diagnostics & Research,142.55M
MEC,"Mayville Engineering Company, Inc.",Metal Fabrication,277.95M
MED,"Medifast, Inc.",Personal Services,131.75M
MEDP,"Medpace Holdings, Inc.",Diagnostics & Research,12.64B
MEG,"Montrose Environmental Group, Inc.",Waste Management,893.10M
MEGL,Magic Empire Global Limited,Capital Markets,7.03M
MEI,"Methode Electronics, Inc.",Electronic Components,231.02M
MEIP,"MEI Pharma, Inc.",Biotechnology,156.33M
MELI,"MercadoLibre, Inc.",Internet Retail,116.20B
MEOH,Methanex Corporation,Chemicals,2.51B
MERC,Mercer International Inc.,Paper & Paper Products,177.21M
MESA,"Mesa Air Group, Inc.",Airlines,44.64M
MESO,Mesoblast Limited,Biotechnology,1.91B
MET,"MetLife, Inc.",Insurance - Life,50.08B
META,"Meta Platforms, Inc.",Internet Content & Information,"1,923.97B"
METC,"Ramaco Resources, Inc.",Coking Coal,1.55B
METCB,"Ramaco Resources, Inc.",Coking Coal,1.45B
MFA,"MFA Financial, Inc.",REIT - Mortgage,948.66M
MFC,Manulife Financial Corporation,Insurance - Life,50.74B
MFG,"Mizuho Financial Group, Inc.",Banks - Regional,79.14B
MFH,Mercurity Fintech Holding Inc.,Information Technology Services,227.36M
MFI,mF International Limited,Software - Application,65.55M
MFIC,MidCap Financial Investment Corporation,Asset Management,1.18B
MFIN,Medallion Financial Corp.,Credit Services,226.54M
MG,"Mistras Group, Inc.",Security & Protection Services,284.79M
MGA,Magna International Inc.,Auto Parts,11.91B
MGEE,"MGE Energy, Inc.",Utilities - Regulated Electric,3.02B
MGIC,Magic Software Enterprises Ltd.,Information Technology Services,963.33M
MGIH,Millennium Group International Holdings Limited,Packaging & Containers,17.78M
MGLD,"The Marygold Companies, Inc.",Asset Management,31.61M
MGM,MGM Resorts International,Resorts & Casinos,9.36B
MGNI,"Magnite, Inc.",Advertising Agencies,3.15B
MGNX,"MacroGenics, Inc.",Biotechnology,92.43M
MGPI,"MGP Ingredients, Inc.",Beverages - Wineries & Distilleries,579.59M
MGRC,McGrath RentCorp,Rental & Leasing Services,2.93B
MGRM,Monogram Technologies Inc.,Medical Devices,194.54M
MGRT,Mega Fortune Company Limited,Electronic Components,38.50M
MGRX,"Mangoceuticals, Inc.",Health Information Services,19.34M
MGTX,MeiraGTx Holdings plc,Biotechnology,627.65M
MGX,"Metagenomi, Inc.",Biotechnology,68.41M
MGY,Magnolia Oil & Gas Corporation,Oil & Gas Exploration & Production,4.42B
MGYR,"Magyar Bancorp, Inc.",Banks - Regional,111.62M
MH,"McGraw Hill, Inc.",Education & Training Services,2.48B
MHH,"Mastech Digital, Inc.",Staffing & Employment Services,85.70M
MHK,"Mohawk Industries, Inc.","Furnishings, Fixtures & Appliances",7.45B
MHO,"M/I Homes, Inc.",Residential Construction,3.42B
MHUA,"Meihua International Medical Technologies Co., Ltd.",Medical Instruments & Supplies,12.99M
MI,NFT Limited,Internet Retail,13.78M
MIDD,The Middleby Corporation,Specialty Industrial Machinery,6.08B
MIGI,Mawson Infrastructure Group Inc.,Capital Markets,8.71M
MIMI,Mint Incorporation Limited,Engineering & Construction,211.86M
MIND,"MIND Technology, Inc.",Scientific & Technical Instruments,76.19M
MIR,"Mirion Technologies, Inc.",Specialty Industrial Machinery,4.59B
MIRA,"MIRA Pharmaceuticals, Inc.",Drug Manufacturers - General,26.23M
MIRM,"Mirum Pharmaceuticals, Inc.",Biotechnology,3.31B
MIST,Milestone Pharmaceuticals Inc.,Biotechnology,151.71M
MITK,"Mitek Systems, Inc.",Software - Application,444.15M
MITQ,"Moving iMage Technologies, Inc.",Communication Equipment,7.27M
MITT,"AG Mortgage Investment Trust, Inc.",REIT - Mortgage,235.45M
MJID,Majestic Ideal Holdings Limited,Specialty Business Services,32.19M
MKC,"McCormick & Company, Incorporated",Packaged Foods,18.70B
MKC.V,"McCormick & Company, Incorporated",Packaged Foods,18.69B
MKDW,MKDWELL Tech Inc.,Auto Parts,29.80M
MKL,Markel Group Inc.,Insurance - Property & Casualty,24.10B
MKSI,MKS Inc.,Scientific & Technical Instruments,6.59B
MKTW,"MarketWise, Inc.",Financial Data & Stock Exchanges,320.88M
MKTX,MarketAxess Holdings Inc.,Capital Markets,7.07B
MKZR,"MacKenzie Realty Capital, Inc.",REIT - Diversified,7.85M
MLAB,"Mesa Laboratories, Inc.",Scientific & Technical Instruments,334.10M
MLAC,Mountain Lake Acquisition Corp.,Shell Companies,317.98M
MLCO,Melco Resorts & Entertainment Limited,Resorts & Casinos,3.37B
MLEC,Moolec Science SA,Biotechnology,10.91M
MLGO,MicroAlgo Inc.,Software - Infrastructure,114.89M
MLI,"Mueller Industries, Inc.",Metal Fabrication,9.96B
MLKN,"MillerKnoll, Inc.","Furnishings, Fixtures & Appliances",1.36B
MLM,"Martin Marietta Materials, Inc.",Building Materials,36.18B
MLNK,"MeridianLink, Inc.",Software - Application,1.53B
MLP,"Maui Land & Pineapple Company, Inc.",Real Estate Services,329.09M
MLR,"Miller Industries, Inc.",Auto Parts,469.21M
MLSS,Milestone Scientific Inc.,Medical Instruments & Supplies,47.10M
MLTX,MoonLake Immunotherapeutics,Biotechnology,3.38B
MLYS,"Mineralys Therapeutics, Inc.",Biotechnology,859.66M
MMA,Mixed Martial Arts Group Limited,Leisure,11.46M
MMC,"Marsh & McLennan Companies, Inc.",Insurance Brokers,99.97B
MMI,"Marcus & Millichap, Inc.",Real Estate Services,1.14B
MMLP,Martin Midstream Partners L.P.,Oil & Gas Midstream,129.53M
MMM,3M Company,Conglomerates,82.72B
MMS,"Maximus, Inc.",Specialty Business Services,4.66B
MMSI,"Merit Medical Systems, Inc.",Medical Instruments & Supplies,4.98B
MMYT,MakeMyTrip Limited,Travel Services,8.99B
MNDO,MIND C.T.I. Ltd,Software - Application,26.27M
MNDR,Mobile-health Network Solutions,Health Information Services,3.84M
MNDY,monday.com Ltd.,Software - Application,8.95B
MNKD,MannKind Corporation,Biotechnology,1.05B
MNMD,Mind Medicine (MindMed) Inc.,Biotechnology,760.88M
MNOV,"MediciNova, Inc.",Biotechnology,65.69M
MNPR,Monopar Therapeutics Inc.,Biotechnology,191.65M
MNR,Mach Natural Resources LP,Oil & Gas Exploration & Production,1.70B
MNRO,"Monro, Inc.",Auto Parts,458.68M
MNSB,"MainStreet Bancshares, Inc.",Banks - Regional,151.02M
MNSO,MINISO Group Holding Limited,Specialty Retail,6.13B
MNST,Monster Beverage Corporation,Beverages - Non-Alcoholic,62.16B
MNTK,"Montauk Renewables, Inc.",Specialty Chemicals,260.23M
MNTN,"MNTN, Inc.",Advertising Agencies,1.74B
MNTS,Momentus Inc.,Aerospace & Defense,10.11M
MNY,MoneyHero Limited,Internet Content & Information,77.34M
MO,"Altria Group, Inc.",Tobacco,110.32B
MOB,Mobilicom Limited,Aerospace & Defense,30.36M
MOBX,"Mobix Labs, Inc.",Semiconductors,48.50M
MOD,Modine Manufacturing Company,Auto Parts,7.04B
MODD,"Modular Medical, Inc.",Medical Devices,40.54M
MODG,Topgolf Callaway Brands Corp.,Leisure,1.51B
MODV,ModivCare Inc.,Medical Care Facilities,32.58M
MOFG,"MidWestOne Financial Group, Inc.",Banks - Regional,570.87M
MOG.A,Moog Inc.,Aerospace & Defense,5.94B
MOG.B,Moog Inc.,Aerospace & Defense,5.97B
MOGO,Mogo Inc.,Software - Infrastructure,40.32M
MOGU,MOGU Inc.,Internet Retail,19.54M
MOH,"Molina Healthcare, Inc.",Healthcare Plans,8.34B
MOLN,Molecular Partners AG,Biotechnology,117.64M
MOMO,Hello Group Inc.,Internet Content & Information,1.29B
MORN,"Morningstar, Inc.",Financial Data & Stock Exchanges,10.83B
MOS,The Mosaic Company,Agricultural Inputs,10.31B
MOV,"Movado Group, Inc.",Luxury Goods,343.30M
MOVE,Movano Inc.,Medical Devices,4.34M
MP,MP Materials Corp.,Other Industrial Metals & Mining,12.87B
MPAA,"Motorcar Parts of America, Inc.",Auto Parts,267.25M
MPB,"Mid Penn Bancorp, Inc.",Banks - Regional,628.56M
MPC,Marathon Petroleum Corporation,Oil & Gas Refining & Marketing,48.21B
MPLX,MPLX LP,Oil & Gas Midstream,51.18B
MPTI,"M-tron Industries, Inc.",Electronic Components,131.57M
MPU,Mega Matrix Inc.,Entertainment,221.63M
MPW,"Medical Properties Trust, Inc.",REIT - Healthcare Facilities,2.42B
MPWR,"Monolithic Power Systems, Inc.",Semiconductors,38.19B
MPX,Marine Products Corporation,Recreational Vehicles,291.87M
MQ,"Marqeta, Inc.",Software - Infrastructure,2.86B
MRAM,"Everspin Technologies, Inc.",Semiconductors,134.39M
MRBK,Meridian Corporation,Banks - Regional,157.90M
MRC,MRC Global Inc.,Oil & Gas Equipment & Services,1.15B
MRCC,Monroe Capital Corporation,Asset Management,147.22M
MRCY,"Mercury Systems, Inc.",Aerospace & Defense,3.20B
MREO,Mereo BioPharma Group plc,Biotechnology,241.68M
MRK,"Merck & Co., Inc.",Drug Manufacturers - General,199.90B
MRKR,"Marker Therapeutics, Inc.",Biotechnology,13.46M
MRM,MEDIROM Healthcare Technologies Inc.,Personal Services,20.55M
MRNA,"Moderna, Inc.",Biotechnology,9.91B
MRNO,Murano Global Investments Plc,Real Estate - Development,475.88M
MRP,"Millrose Properties, Inc.",REIT - Residential,5.17B
MRSN,"Mersana Therapeutics, Inc.",Biotechnology,29.76M
MRT,"Marti Technologies, Inc.",Software - Application,182.99M
MRTN,"Marten Transport, Ltd.",Trucking,945.64M
MRUS,Merus N.V.,Biotechnology,4.89B
MRVI,"Maravai LifeSciences Holdings, Inc.",Biotechnology,524.60M
MRVL,"Marvell Technology, Inc.",Semiconductors,66.63B
MRX,Marex Group plc,Capital Markets,2.48B
MS,Morgan Stanley,Capital Markets,229.68B
MSA,MSA Safety Incorporated,Security & Protection Services,6.63B
MSAI,"MultiSensor AI Holdings, Inc.",Software - Infrastructure,26.08M
MSB,Mesabi Trust,Steel,398.19M
MSBI,"Midland States Bancorp, Inc.",Banks - Regional,376.87M
MSC,Studio City International Holdings Limited,Resorts & Casinos,924.42M
MSCI,MSCI Inc.,Financial Data & Stock Exchanges,42.50B
MSDL,Morgan Stanley Direct Lending Fund,Asset Management,1.56B
MSEX,Middlesex Water Company,Utilities - Regulated Water,959.21M
MSFT,Microsoft Corporation,Software - Infrastructure,"3,878.40B"
MSGE,Madison Square Garden Entertainment Corp.,Leisure,1.85B
MSGM,Motorsport Games Inc.,Electronic Gaming & Multimedia,16.76M
MSGS,Madison Square Garden Sports Corp.,Entertainment,4.86B
MSGY,Masonglory Limited,Engineering & Construction,167.86M
MSI,"Motorola Solutions, Inc.",Communication Equipment,76.79B
MSIF,"MSC Income Fund, Inc.",Asset Management,678.47M
MSM,"MSC Industrial Direct Co., Inc.",Industrial Distribution,4.73B
MSN,Emerson Radio Corp.,Consumer Electronics,9.35M
MSPR,"MSP Recovery, Inc.",Health Information Services,6.33M
MSS,Maison Solutions Inc.,Grocery Stores,16.79M
MSTR,MicroStrategy Incorporated,Software - Application,113.49B
MSW,Ming Shing Group Holdings Limited,Engineering & Construction,21.54M
MT,ArcelorMittal S.A.,Steel,25.07B
MTA,Metalla Royalty & Streaming Ltd.,Other Precious Metals & Mining,400.63M
MTAL,MAC Copper Limited,Copper,997.89M
MTB,M&T Bank Corporation,Banks - Regional,29.15B
MTC,"MMTec, Inc.",Software - Application,29.22M
MTCH,"Match Group, Inc.",Internet Content & Information,8.59B
MTD,Mettler-Toledo International Inc.,Diagnostics & Research,25.88B
MTDR,Matador Resources Company,Oil & Gas Exploration & Production,5.76B
MTEK,Maris-Tech Ltd.,Electronic Components,18.79M
MTEN,Mingteng International Corporation Inc.,Metal Fabrication,92.33M
MTEX,"Mannatech, Incorporated",Food Distribution,15.93M
MTG,MGIC Investment Corporation,Insurance - Specialty,6.30B
MTH,Meritage Homes Corporation,Residential Construction,5.10B
MTLS,Materialise NV,Software - Application,295.34M
MTN,"Vail Resorts, Inc.",Resorts & Casinos,5.49B
MTNB,"Matinas BioPharma Holdings, Inc.",Biotechnology,8.14M
MTR,Mesa Royalty Trust,Oil & Gas Exploration & Production,10.68M
MTRN,Materion Corporation,Other Industrial Metals & Mining,2.20B
MTRX,Matrix Service Company,Engineering & Construction,404.22M
MTSI,"MACOM Technology Solutions Holdings, Inc.",Semiconductors,8.81B
MTSR,"Metsera, Inc.",Biotechnology,3.17B
MTUS,Metallus Inc.,Steel,639.53M
MTVA,MetaVia Inc.,Biotechnology,15.45M
MTW,"The Manitowoc Company, Inc.",Farm & Heavy Construction Machinery,361.33M
MTX,Minerals Technologies Inc.,Specialty Chemicals,1.83B
MTZ,"MasTec, Inc.",Engineering & Construction,13.90B
MU,"Micron Technology, Inc.",Semiconductors,138.46B
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Banks - Diversified,164.04B
MUR,Murphy Oil Corporation,Oil & Gas Exploration & Production,3.23B
MURA,Mural Oncology plc,Biotechnology,26.85M
MUSA,Murphy USA Inc.,Specialty Retail,7.31B
MUX,McEwen Inc.,Other Precious Metals & Mining,564.33M
MVBF,MVB Financial Corp.,Banks - Regional,295.37M
MVIS,"MicroVision, Inc.",Scientific & Technical Instruments,340.09M
MVST,"Microvast Holdings, Inc.",Auto Parts,980.67M
MWA,"Mueller Water Products, Inc.",Specialty Industrial Machinery,4.01B
MWG,Multi Ways Holdings Limited,Rental & Leasing Services,7.97M
MWYN,"Marwynn Holdings, Inc.","Furnishings, Fixtures & Appliances",18.25M
MX,Magnachip Semiconductor Corporation,Semiconductors,96.28M
MXC,Mexco Energy Corporation,Oil & Gas Exploration & Production,17.06M
MXCT,"MaxCyte, Inc.",Medical Devices,140.72M
MXL,"MaxLinear, Inc.",Semiconductors,1.31B
MYE,"Myers Industries, Inc.",Packaging & Containers,588.46M
MYFW,"First Western Financial, Inc.",Banks - Regional,202.52M
MYGN,"Myriad Genetics, Inc.",Diagnostics & Research,575.95M
MYND,"Mynd.ai, Inc.",Education & Training Services,29.12M
MYNZ,Mainz Biomed N.V.,Diagnostics & Research,5.13M
MYO,"Myomo, Inc.",Medical Devices,63.32M
MYPS,"PLAYSTUDIOS, Inc.",Electronic Gaming & Multimedia,129.11M
MYRG,MYR Group Inc.,Engineering & Construction,2.86B
MYSE,"Myseum, Inc.",Software - Application,11.41M
MYSZ,"My Size, Inc.",Software - Application,3.97M
MZTI,The Marzetti Company,Packaged Foods,4.89B
NA,Nano Labs Ltd,Semiconductors,97.08M
NAAS,NaaS Technology Inc.,Specialty Retail,5.28M
NABL,"N-able, Inc.",Information Technology Services,1.36B
NAGE,"Niagen Bioscience, Inc.",Biotechnology,784.81M
NAII,"Natural Alternatives International, Inc.",Packaged Foods,22.86M
NAK,Northern Dynasty Minerals Ltd.,Other Industrial Metals & Mining,473.83M
NAKA,"Kindly MD, Inc.",Medical Care Facilities,108.62M
NAMI,Jinxin Technology Holding Company,Internet Content & Information,76.57M
NAMM,Namib Minerals,Gold,158.08M
NAMS,NewAmsterdam Pharma Company N.V.,Biotechnology,2.74B
NAOV,"NanoVibronix, Inc.",Medical Devices,6.15M
NAT,Nordic American Tankers Limited,Oil & Gas Midstream,592.90M
NATH,"Nathan's Famous, Inc.",Restaurants,402.94M
NATL,NCR Atleos Corporation,Software - Application,2.64B
NATR,"Nature's Sunshine Products, Inc.",Packaged Foods,282.17M
NAUT,"Nautilus Biotechnology, Inc.",Biotechnology,90.98M
NAVI,Navient Corporation,Credit Services,1.24B
NB,NioCorp Developments Ltd.,Other Industrial Metals & Mining,323.29M
NBBK,"NB Bancorp, Inc.",Banks - Regional,616.59M
NBHC,National Bank Holdings Corporation,Banks - Regional,1.39B
NBIS,Nebius Group N.V.,Internet Content & Information,16.77B
NBIX,"Neurocrine Biosciences, Inc.",Drug Manufacturers - Specialty & Generic,12.30B
NBN,Northeast Bank,Banks - Regional,833.18M
NBR,Nabors Industries Ltd.,Oil & Gas Drilling,493.53M
NBTB,NBT Bancorp Inc.,Banks - Regional,2.15B
NBTX,Nanobiotix S.A.,Biotechnology,347.85M
NBY,"NovaBay Pharmaceuticals, Inc.",Biotechnology,3.50M
NC,"NACCO Industries, Inc.",Thermal Coal,271.02M
